age,sex,smoker,smoker_code,age_sq,log_income
-0.5077546346628572,female,Never,1,0.2578147690216116,1.430311246536665
0.7376263094989453,male,Former,2,0.5440925724650337,1.599387576580599
-0.4536076370906049,female,Never,1,0.20575988842692194,1.1052568313867783
-1.265812600674389,male,Never,1,1.6022815400260604,0.9321640810304452
1.3873902803659726,male,Former,2,1.924851790053972,1.791759469228055
0.14200933620417017,female,Current,3,0.020166651569149034,0.5538851132264376
0.4668913216376839,female,Never,1,0.2179875062205832,1.4445632692438664
-0.670195627379614,male,Never,1,0.44916217895875443,1.791759469228055
-1.211665603102137,male,Current,3,1.4681335337408652,0.6575200029167942
-1.3199595982466414,male,Current,3,1.7422933410034351,0.9707789171582247
0.304450328920927,male,Never,1,0.09269000278006063,0.29266961396282004
0.304450328920927,male,Current,3,0.09269000278006063,0.6312717768418579
-1.211665603102137,male,Never,1,1.4681335337408652,1.6094379124341003
0.7376263094989453,male,Never,1,0.5440925724650337,1.791759469228055
0.683479311926693,female,Former,2,0.4671439698317857,1.068153081183401
-0.4536076370906049,female,Never,1,0.20575988842692194,1.791759469228055
1.1166552925047113,male,Current,3,1.2469190422787824,1.5871923034867808
0.19615633377642244,female,Current,3,0.03847730728060725,1.275362800412609
-0.39946063951835264,male,Current,3,0.15956880252441127,0.16551443847757338
-0.18287264922934351,male,Never,1,0.03344240583615851,0.7701082216960736
1.2249492876492158,male,Never,1,1.5005007573123212,1.791759469228055
0.5751853167821884,female,Former,2,0.3308381486418265,1.1052568313867783
0.7917733070711975,female,Never,1,0.6269049697904608,1.791759469228055
0.9000673022157021,male,Former,2,0.810121148517852,0.8285518175661483
-0.9950776128131277,male,Current,3,0.9901794555218728,1.5129270120532565
0.8459203046434498,female,Never,1,0.715581161808067,1.4398351280479205
